timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
139167492,62,208,323,338
139168158,58,213,325,334
139168825,109,249,336,334
139169492,63,210,323,334
139170158,63,208,334,340
139170825,110,249,330,337
139171492,58,223,326,334
139172158,63,212,338,345
139172825,113,245,335,346
139173492,60,210,345,353
139174158,64,207,347,348
139174825,111,250,350,348
139175492,63,209,349,348
139176158,62,210,340,344
139176825,110,251,336,333
139177492,64,213,326,328
139178158,62,209,335,336
139178825,113,246,329,327
139179492,57,212,323,325
139180158,58,212,330,328
139180825,113,249,324,321
139181492,63,207,317,319
139182158,61,211,321,330
139182825,108,249,318,321
139183492,60,212,316,323
139184158,63,210,326,346
139184825,109,240,325,337
139185492,60,212,319,335
139186158,60,212,332,339
139186825,114,247,335,335
139187492,63,205,327,339
139188158,55,221,330,339
139188825,110,249,331,334
139189492,63,207,337,345
139190158,63,208,349,359
139190825,113,248,347,349
139191492,59,211,342,343
139192158,57,213,352,346
139192825,114,246,342,336
139193492,61,208,339,335
139194158,55,215,332,340
139194825,110,261,326,326
139195492,60,213,318,320
139196158,63,209,327,333
139196825,111,248,322,326
139197492,59,213,315,316
139198158,57,215,318,320
139198825,113,248,318,324
139199492,63,205,317,323
139200158,63,209,318,327
139200825,112,248,324,339
139201492,58,214,323,341
139202158,65,211,326,344
139202825,115,245,333,338
139203492,59,211,323,335
139204158,58,214,331,342
139204825,112,249,334,337
139205492,67,212,331,340
139206158,61,211,338,351
139206825,109,251,343,355
139207492,62,211,347,349
139208158,65,209,345,355
139208825,111,248,347,351
139209492,58,213,343,336
139210158,62,213,333,342
139210825,113,245,339,332
139211492,62,208,323,327
139212158,58,212,324,332
139212825,111,249,325,327
139213492,61,212,325,328
139214158,63,209,318,322
139214825,108,250,315,317
139215492,60,215,318,315
139216158,62,209,319,330
139216825,114,247,320,330
139217492,59,215,318,327
139218158,60,215,326,339
139218825,113,247,327,337
139219492,66,208,330,339
139220158,60,213,334,338
139220825,111,250,335,334
139221492,59,209,328,331
139222158,62,209,332,345
139222825,110,250,334,341
139223492,59,213,349,355
139224158,63,210,347,357
139224825,114,247,350,349
139225492,59,210,347,350
139226158,60,213,339,336
139226825,113,250,336,328
139227492,63,205,337,332
139228158,60,211,327,331
139228825,102,244,331,323
139229492,61,212,326,328
139230158,59,205,327,330
139230825,111,245,319,313
139231492,58,211,310,303
139232158,61,212,318,321
139232825,114,247,315,320
139233492,63,205,315,325
139234158,59,213,326,339
139234825,108,261,331,330
139235492,61,209,323,338
139236158,65,209,328,343
139236825,111,247,327,338
139237492,57,212,326,334
139238158,59,212,330,338
139238825,114,245,335,338
139239492,63,207,337,350
139240158,59,211,341,361
139240825,111,249,350,348
139241492,63,210,351,347
139242158,65,209,345,356
139242825,119,247,345,341
139243492,57,209,336,333
139244158,61,213,341,336
139244825,116,247,331,327
139245492,63,208,324,331
139246158,58,213,325,331
139246825,112,250,329,323
139247492,65,208,318,318
139248158,62,207,315,310
139248825,110,251,314,305
139249492,57,212,317,321
139250158,63,209,322,337
139250825,116,249,317,335
139251492,59,211,330,336
139252158,60,213,332,337
139252825,113,247,333,341
139253492,63,207,330,337
139254158,58,212,325,336
139254825,110,251,331,337
139255492,63,211,333,336
139256158,63,209,335,349
139256825,113,249,351,359
139257492,58,215,354,353
139258158,62,211,351,351
139258825,116,245,356,350
139259492,62,209,342,329
139260158,58,212,336,340
139260825,104,252,339,331
139261492,63,208,331,327
139262158,62,208,323,333
139262825,109,249,332,323
139263492,58,215,322,323
139264158,61,210,317,319
139264825,116,245,317,308
139265492,57,215,310,303
139266158,58,213,316,307
139266825,112,249,327,335
139267492,62,209,326,340
139268158,61,210,322,338
139268825,108,249,329,336
139269492,65,220,330,334
139270158,63,209,334,339
139270825,115,248,330,339
139271492,59,212,328,335
139272158,59,213,330,338
139272825,115,248,340,353
139273492,63,208,351,355
139274158,61,209,345,355
139274825,110,249,356,350
139275492,61,211,350,348
139276158,64,209,338,348
139276825,113,245,338,337
139277492,52,201,323,335
139278158,60,211,328,327
139278825,116,249,326,329
139279492,59,205,325,328
139280158,58,211,321,325
139280825,110,250,322,320
139281492,62,208,323,327
139282158,61,209,314,326
139282825,110,249,314,303
139283492,58,213,322,332
139284158,54,210,328,332
139284825,117,247,327,341
139285492,60,212,322,331
139286158,58,212,328,340
139286825,114,250,334,331
139287492,63,208,333,349
139288158,61,210,325,340
139288825,112,249,331,339
139289492,61,212,336,346
139290158,63,208,347,359
139290825,114,246,346,359
139291492,58,212,347,349
139292158,62,213,356,351
139292825,117,247,347,339
139293492,59,218,335,333
139294158,58,212,332,335
139294825,112,253,330,322
139295492,63,208,327,328
139296158,63,208,324,323
139296825,111,248,320,323
139297492,58,213,312,311
139298158,61,211,316,318
139298825,114,247,318,319
139299492,62,209,314,310
139300158,59,211,322,338
139300825,109,249,328,339
139301492,63,211,329,336
139302158,63,208,321,346
139302825,117,245,325,343
139303492,56,214,329,337
139304158,60,213,327,338
139304825,115,248,333,338
139305492,63,208,334,344
139306158,60,211,337,351
139306825,110,252,350,359
139307492,61,213,355,357
139308158,63,210,351,351
139308825,111,246,347,357
139309492,58,217,341,338
139310158,58,213,330,338
139310825,115,249,331,338
139311492,63,208,317,324
139312158,60,211,323,333
139312825,108,253,329,323
139313492,62,211,323,327
139314158,63,208,319,308
139314825,112,250,314,313
139315492,58,213,315,299
139316158,61,213,315,310
139316825,115,247,326,345
139317492,63,207,323,340
139318158,58,211,325,331
139318825,111,252,337,333
139319492,64,207,326,335
139320158,63,207,335,335
139320825,112,251,324,337
139321492,58,213,328,330
139322158,62,212,331,341
139322825,114,249,334,352
139323492,60,210,342,353
139324158,58,212,351,355
139324825,116,244,351,354
139325492,63,209,347,351
139326158,63,208,338,343
139326825,111,251,336,339
139327492,56,211,331,328
139328158,62,210,327,329
139328825,117,249,323,327
139329492,64,207,318,317
139330158,58,212,320,324
139330825,112,251,326,314
139331492,63,210,313,317
139332158,63,208,315,323
139332825,113,256,315,305
139333492,64,203,320,333
139334158,60,213,331,338
139334825,115,247,330,331
139335492,63,207,328,341
139336158,59,211,329,336
139336825,111,252,328,330
139337492,63,209,333,326
139338158,63,208,331,335
139338825,112,251,336,342
139339492,58,210,335,352
139340158,62,211,346,362
139340825,116,248,355,358
139341492,57,216,348,351
139342158,59,212,344,354
139342825,113,252,349,344
139343492,63,208,335,337
139344158,62,210,332,330
139344825,110,252,329,323
139345492,60,215,323,327
139346158,63,209,319,324
139346825,115,249,322,324
139347492,58,213,313,302
139348158,58,215,318,304
139348825,114,249,315,315
139349492,62,208,309,309
139350158,59,212,328,335
139350825,112,252,324,332
139351492,62,211,328,331
139352158,63,209,329,335
139352825,112,250,332,335
139353492,57,212,323,337
139354158,58,211,335,341
139354825,115,247,335,335
139355492,63,209,331,339
139356158,59,210,333,351
139356825,114,253,343,361
139357492,62,206,354,356
139358158,63,208,349,351
139358825,111,246,344,351
139359492,60,213,336,332
139360158,62,218,345,336
