timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
591934249,193,89,279,300
591934917,190,84,280,308
591935582,289,195,443,508
591936249,689,611,762,784
591936917,429,203,410,436
591937582,193,85,286,309
591938249,197,88,281,319
591938917,199,95,284,385
591939582,677,592,744,767
591940250,536,441,548,544
591940915,193,90,280,295
591941582,193,87,283,313
591942249,194,86,279,333
591942915,622,535,686,692
591943582,625,535,649,645
591944249,188,81,282,303
591944915,195,86,280,306
591945582,192,89,285,331
591946249,541,441,619,625
591946915,674,593,700,711
591947582,199,92,282,319
591948249,192,90,282,305
591948915,194,90,277,314
591949582,419,332,527,518
591950249,696,607,753,776
591950915,293,197,397,412
591951582,196,85,276,305
591952249,192,88,288,329
591952915,298,192,390,412
591953582,676,594,754,776
591954249,428,325,526,533
591954915,189,85,280,296
591955582,194,104,279,315
591956249,196,94,286,316
591956915,623,532,687,738
591957582,535,445,626,629
591958249,194,86,275,303
591958915,193,88,283,302
591959582,195,86,282,315
591960249,535,443,623,672
591960915,625,532,681,697
591961582,196,92,274,300
591962249,195,88,271,309
591962915,192,83,282,301
591963582,429,328,527,587
591964249,676,595,744,769
591964915,297,186,321,332
591965582,193,90,280,306
591966249,194,86,286,315
591966915,298,195,380,475
591967582,692,605,767,788
591968250,429,330,438,460
591968915,194,87,282,299
591969582,195,89,280,313
591970250,195,97,287,357
591970915,677,595,746,757
591971582,539,437,599,561
591972249,188,83,282,310
591972916,192,89,284,299
591973582,192,90,280,315
591974249,624,527,685,701
591974915,621,537,684,659
591975582,191,78,282,311
591976249,194,91,278,308
591976915,193,83,278,301
591977582,519,441,620,619
591978249,677,590,749,747
591978915,199,94,284,314
591979582,193,86,278,307
591980249,180,82,278,309
591980915,297,317,511,509
591981582,693,608,764,779
591982249,297,184,394,435
591982915,194,88,274,295
591983582,193,86,284,313
591984249,197,189,380,411
591984915,680,593,750,764
591985582,428,331,524,523
591986249,192,81,274,303
591986915,195,86,277,301
591987582,190,87,288,319
591988249,626,534,683,703
591988915,536,442,630,615
591989582,194,87,278,300
591990249,192,91,283,308
591990915,195,100,285,308
591991582,530,444,623,621
591992249,623,536,686,713
591992915,196,93,284,287
591993582,196,88,286,304
591994249,192,90,286,315
591994915,421,329,523,515
591995582,681,593,749,765
591996249,296,190,389,367
591996915,187,82,284,301
591997582,194,89,287,310
591998249,297,192,373,423
591998915,676,608,761,767
591999582,428,332,520,470
592000249,192,88,282,302
592000915,197,88,281,305
592001582,194,93,287,311
592002249,623,582,743,766
592002917,536,445,625,563
592003582,194,84,277,301
592004250,192,90,284,312
592004915,186,80,280,309
592005582,535,525,677,682
592006250,624,529,686,709
592006915,192,87,280,303
592007582,194,88,277,293
592008249,192,89,280,309
592008915,422,326,600,609
592009582,676,597,753,759
592010249,199,86,289,322
592010915,191,83,282,293
592011582,193,86,281,306
592012249,294,194,498,506
592012915,693,606,744,772
592013582,365,207,401,419
592014249,193,90,282,297
592014915,194,89,281,303
592015582,197,92,371,396
592016249,679,592,747,766
592016915,538,331,536,519
592017582,194,64,278,285
592018249,192,89,285,309
592018915,195,85,286,313
592019582,620,537,681,694
592020249,623,448,635,645
592020915,191,85,281,281
592021582,193,86,278,302
592022249,195,93,296,320
592022915,539,437,622,620
592023582,678,542,685,693
592024249,196,95,286,316
592024915,195,89,277,301
592025582,196,90,277,314
592026249,421,330,519,524
592026915,693,609,753,762
592027582,297,192,370,423
592028249,184,86,283,306
592028915,195,84,279,310
592029582,296,196,390,411
592030249,678,590,757,788
592030915,427,333,528,531
592031582,194,84,279,307
592032249,193,87,278,314
592032915,202,91,285,308
592033582,623,530,728,756
592034249,539,442,625,631
592034916,194,86,278,298
592035582,192,87,275,314
592036249,196,90,280,315
592036916,536,442,660,682
592037582,626,536,676,707
592038249,188,83,281,305
592038917,191,79,285,296
592039582,192,88,278,310
592040249,428,330,575,602
592040917,674,594,749,763
592041582,297,96,292,326
592042249,192,89,286,312
592042915,195,86,280,304
592043582,292,195,392,504
592044249,693,606,755,781
592044915,425,327,423,441
592045582,196,84,277,314
592046249,190,85,281,309
592046915,198,88,286,376
592047582,676,591,745,774
592048249,530,438,551,548
592048915,194,90,288,301
592049582,194,86,278,315
592050249,194,88,281,330
592050915,624,533,686,691
592051582,623,532,637,648
592052249,193,88,282,313
592052915,194,121,280,301
592053582,192,80,278,337
592054249,538,441,618,624
592054915,669,596,709,717
592055582,198,91,284,319
592056249,192,91,285,311
592056915,196,87,273,322
592057582,416,330,523,518
592058249,693,602,753,773
592058915,294,196,396,419
592059582,194,87,277,307
592060249,192,90,279,309
592060915,297,192,371,381
592061582,674,591,746,776
592062249,427,330,527,532
592062915,193,89,280,287
592063582,192,86,287,309
592064249,190,85,283,317
592064915,626,534,686,735
592065582,536,435,624,635
592066249,193,88,278,302
592066915,195,89,279,305
592067582,192,87,285,318
592068250,538,439,623,670
592068915,624,538,686,701
592069582,199,95,273,307
592070250,192,93,284,308
592070915,195,89,284,314
592071582,414,331,526,579
592072250,679,588,748,771
592072915,293,195,326,328
592073582,196,86,278,319
592074249,190,86,285,305
592074915,289,192,390,468
592075582,688,607,764,784
592076249,429,326,449,464
592076915,192,89,284,299
592077582,196,92,283,328
592078249,196,91,283,315
592078915,678,586,745,755
592079582,535,441,627,564
592080249,195,76,278,311
592080915,192,91,284,303
592081582,194,88,281,319
592082249,621,535,680,695
592082915,625,532,682,656
592083582,192,91,286,315
592084249,195,84,279,307
592084915,192,86,280,303
592085582,413,438,623,621
592086249,678,594,756,743
592086915,199,90,284,309
592087582,193,95,276,307
592088249,194,86,283,311
592088915,297,317,513,502
