timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
3473001161,63,327,351,301
3473002161,64,330,358,309
3473003161,64,327,362,310
3473004161,66,320,353,293
3473005161,64,328,367,308
3473006161,67,322,383,337
3473007161,64,329,371,329
3473008161,64,330,376,337
3473009161,66,327,376,351
3473010161,64,332,381,385
3473011161,74,325,399,399
3473012161,71,325,405,391
3473013161,66,324,394,374
3473014161,74,321,383,345
3473015161,60,324,346,298
3473016161,62,327,359,301
3473017161,63,330,359,302
3473018161,59,344,352,301
3473019161,66,328,360,310
3473020161,64,322,360,317
3473021161,60,319,329,284
3473022161,66,324,365,319
3473023161,65,329,371,337
3473024161,66,329,372,329
3473025161,72,333,367,337
3473026161,62,337,365,352
3473027161,72,328,396,417
3473028161,70,336,396,396
3473029161,73,326,412,397
3473030161,72,333,378,375
3473031161,64,335,352,300
3473032161,63,330,362,296
3473033161,63,334,357,302
3473034161,63,332,354,302
3473035161,67,326,357,309
3473036161,62,334,364,315
3473037161,66,324,366,315
3473038161,64,325,365,325
3473039161,66,331,379,332
3473040161,65,326,374,337
3473041161,64,335,372,331
3473042161,66,329,381,339
3473043161,56,329,356,343
3473044161,72,331,416,387
3473045161,73,328,401,393
3473046161,70,329,406,389
3473047161,67,324,381,353
3473048161,60,327,356,297
3473049161,62,330,346,300
3473050161,63,328,347,301
3473051161,61,331,357,299
3473052161,67,325,361,313
3473053161,62,331,363,319
3473054161,66,325,360,332
3473055161,62,330,364,327
3473056161,65,325,379,337
3473057161,67,326,373,325
3473058161,61,330,366,328
3473059161,67,329,383,342
3473060161,70,332,417,397
3473061161,77,327,401,392
3473062161,72,328,401,385
3473063161,64,328,378,366
3473064161,66,327,381,349
3473065161,60,321,350,295
3473066161,62,331,361,306
3473067161,62,325,354,303
3473068161,60,338,360,299
3473069161,67,329,365,314
3473070161,62,336,352,319
3473071161,62,325,351,296
3473072161,66,324,356,332
3473073161,64,331,381,347
3473074161,65,330,380,334
3473075161,64,336,375,335
3473076161,66,331,382,350
3473077161,73,332,391,387
3473078161,72,329,414,389
3473079161,74,323,401,388
3473080161,68,324,370,351
3473081161,65,331,363,322
3473082161,52,332,323,299
3473083161,60,332,358,302
3473084161,63,329,353,303
3473085161,60,333,356,307
3473086161,64,331,360,304
3473087161,66,324,362,318
3473088161,59,323,369,307
3473089161,67,333,377,335
3473090161,65,332,371,343
3473091161,64,333,375,330
3473092161,66,329,373,339
3473093161,64,331,380,344
3473094161,73,327,399,380
3473095161,70,342,401,403
3473096161,72,330,409,386
3473097161,67,321,378,357
3473098161,64,328,352,287
3473099161,64,332,365,301
3473100161,60,333,354,301
3473101161,62,329,357,310
3473102161,66,328,360,310
3473103161,58,327,363,314
3473104161,70,323,343,316
3473105161,69,326,349,327
3473106161,65,325,380,327
3473107161,66,333,372,335
3473108161,62,331,374,329
3473109161,67,326,375,340
3473110161,73,332,434,395
3473111161,73,326,407,395
3473112161,70,320,397,394
3473113161,69,328,374,365
3473114161,67,322,376,339
3473115161,59,332,350,290
3473116161,62,326,355,298
3473117161,60,329,352,306
3473118161,62,337,359,304
3473119161,66,322,356,321
3473120161,62,328,360,301
3473121161,63,321,353,305
3473122161,60,333,362,321
3473123161,67,327,378,340
3473124161,67,320,374,335
3473125161,64,334,382,336
3473126161,65,337,381,349
3473127161,76,327,407,402
3473128161,68,326,384,398
3473129161,77,322,387,396
3473130161,64,326,371,367
3473131161,65,328,363,312
3473132161,63,326,349,302
3473133161,60,352,357,302
3473134161,63,333,356,301
3473135161,62,331,353,313
3473136161,64,327,364,308
3473137161,66,320,367,318
3473138161,59,322,363,311
3473139161,66,330,372,328
3473140161,65,329,377,339
3473141161,62,338,374,335
3473142161,66,328,377,339
3473143161,64,332,378,343
3473144161,72,332,407,408
3473145161,73,321,404,397
3473146161,70,327,391,384
3473147161,64,321,383,353
3473148161,60,329,350,301
3473149161,62,331,357,296
3473150161,60,330,354,306
3473151161,62,334,351,300
3473152161,66,326,351,313
3473153161,62,330,364,305
3473154161,64,323,361,313
3473155161,64,337,358,334
3473156161,67,327,374,338
3473157161,66,326,373,343
3473158161,64,331,372,343
3473159161,66,328,379,357
3473160161,72,329,407,406
3473161161,75,330,410,411
3473162161,69,328,402,395
3473163161,72,329,391,382
3473164161,64,324,361,343
3473165161,62,327,354,299
3473166161,63,332,359,307
3473167161,60,335,356,298
3473168161,64,325,363,303
3473169161,64,330,350,313
3473170161,66,332,363,315
3473171161,62,323,354,287
3473172161,64,329,366,333
3473173161,66,323,378,341
3473174161,63,331,373,336
3473175161,66,336,376,332
3473176161,65,334,378,343
3473177161,70,336,407,409
3473178161,74,324,398,391
3473179161,70,327,410,387
3473180161,67,325,383,360
3473181161,65,327,357,306
3473182161,60,330,356,287
3473183161,63,330,357,302
3473184161,60,332,352,303
3473185161,59,333,349,309
3473186161,65,325,359,314
3473187161,62,329,357,307
3473188161,67,322,357,312
3473189161,62,327,376,338
3473190161,66,333,370,340
3473191161,65,328,371,335
3473192161,53,331,382,337
3473193161,67,330,378,353
3473194161,72,329,415,409
3473195161,73,322,408,395
3473196161,70,327,391,371
3473197161,60,323,377,368
3473198161,61,328,351,291
3473199161,61,320,355,300
3473200161,63,330,357,299
3473201161,59,325,354,299
3473202161,65,326,359,295
3473203161,64,328,360,315
3473204161,62,327,358,315
3473205161,67,326,355,327
3473206161,64,327,372,335
3473207161,66,326,376,336
3473208161,64,332,372,345
3473209161,66,328,381,348
3473210161,73,328,411,408
3473211161,70,337,405,403
3473212161,73,320,405,401
3473213161,68,329,386,373
3473214161,67,319,365,331
3473215161,60,328,347,300
3473216161,62,331,358,303
3473217161,63,329,353,305
3473218161,64,337,356,301
3473219161,66,321,354,308
3473220161,63,328,361,315
3473221161,62,323,350,290
3473222161,64,328,366,325
3473223161,64,329,376,330
3473224161,67,329,374,343
3473225161,64,343,376,334
3473226161,68,330,383,345
3473227161,71,322,411,395
3473228161,77,321,399,393
3473229161,68,327,392,391
3473230161,65,327,392,370
3473231161,64,330,355,309
3473232161,62,337,354,295
3473233161,63,328,357,303
3473234161,61,336,353,297
3473235161,66,326,358,305
3473236161,62,334,357,307
3473237161,66,326,359,313
3473238161,64,327,359,306
3473239161,65,324,373,351
3473240161,64,326,375,337
3473241161,64,332,373,330
3473242161,70,331,379,341
3473243161,64,330,382,355
3473244161,72,333,417,400
3473245161,71,324,404,404
3473246161,69,332,401,379
3473247161,67,323,387,359
3473248161,60,326,353,301
3473249161,63,331,357,299
3473250161,61,332,356,302
3473251161,62,328,358,299
3473252161,66,327,354,313
3473253161,64,330,363,309
3473254161,64,326,359,304
3473255161,64,327,369,335
3473256161,64,322,383,336
3473257161,66,328,410,338
3473258161,64,344,376,333
3473259161,67,328,379,345
3473260161,70,333,406,405
3473261161,72,325,404,388
3473262161,73,324,407,397
3473263161,71,327,393,350
3473264161,67,322,376,326
3473265161,58,335,348,291
3473266161,63,329,354,299
3473267161,59,335,350,301
3473268161,64,337,358,306
3473269161,65,324,362,317
3473270161,62,325,363,312
3473271161,65,317,351,299
3473272161,63,324,381,327
3473273161,64,335,377,337
3473274161,66,330,377,336
3473275161,64,333,378,336
3473276161,67,332,381,351
3473277161,71,327,401,401
3473278161,72,325,392,392
3473279161,74,324,398,401
