0,1,2,3,4
714067491,60,218,326,330
714068158,95,250,333,331
714068825,89,246,329,334
714069491,66,217,328,327
714070158,72,223,331,329
714070825,68,220,328,328
714071491,78,246,326,329
714072158,91,255,335,343
714072825,70,222,338,344
714073491,61,221,341,336
714074158,61,219,333,346
714074825,83,234,346,344
714075491,97,261,345,334
714076158,74,225,338,330
714076825,61,220,330,328
714077491,58,227,323,331
714078158,67,228,323,323
714078825,91,252,332,333
714079491,79,233,335,324
714080158,61,223,323,318
714080825,60,215,315,302
714081491,69,216,319,320
714082158,88,251,324,327
714082825,82,244,323,328
714083491,65,229,320,337
714084158,64,219,325,339
714084825,66,217,317,334
714085491,81,242,335,334
714086158,84,255,326,333
714086825,64,219,328,339
714087491,64,229,324,338
714088158,62,221,325,335
714088825,78,234,330,346
714089491,98,263,344,354
714090158,71,225,340,341
714090825,60,221,332,347
714091491,64,217,341,339
714092158,68,227,331,332
714092825,90,257,338,339
714093491,85,237,329,330
714094158,60,223,321,322
714094825,60,220,330,329
714095491,64,226,323,330
714096158,93,253,326,324
714096825,80,247,314,312
714097491,60,221,319,313
714098158,62,220,310,298
714098825,67,217,319,330
714099491,95,247,317,327
714100158,88,251,331,334
714100825,64,223,327,330
714101491,64,216,326,330
714102158,62,220,322,331
714102825,83,244,333,330
714103491,92,257,338,330
714104158,64,221,324,333
714104825,64,220,331,339
714105491,64,223,331,343
714106158,69,232,342,350
714106825,92,256,344,351
714107491,77,225,347,342
714108158,61,221,342,336
714108825,66,219,330,329
714109491,64,225,327,326
714110158,92,259,338,334
714110825,76,235,325,320
714111491,65,220,323,322
714112158,64,217,318,311
714112825,66,219,320,326
714113491,90,248,318,310
714114158,82,247,321,325
714114825,62,220,325,325
714115491,62,222,322,324
714116158,63,218,318,319
714116825,91,251,323,337
714117491,91,249,326,326
714118158,64,220,324,324
714118825,66,227,326,333
714119491,64,227,325,333
714120158,79,237,333,329
714120825,92,256,330,329
714121491,69,225,323,331
714122158,71,217,337,341
714122825,65,220,334,338
714123491,70,226,342,337
714124158,86,259,354,346
714124825,76,233,332,343
714125491,65,218,335,329
714126158,64,219,330,329
714126825,64,220,331,328
714127491,90,261,335,327
714128158,80,249,322,326
714128825,64,219,314,323
714129491,69,212,327,325
714130158,70,221,317,319
714130825,82,245,327,324
714131491,84,255,323,321
714132158,64,218,314,317
714132825,62,218,313,324
714133491,67,217,329,320
714134158,74,236,326,338
714134825,89,259,336,333
714135491,70,218,320,326
714136158,70,223,326,335
714136825,66,219,322,330
714137491,71,224,323,335
714138158,90,263,339,335
714138825,72,238,330,330
714139491,60,219,330,344
714140158,66,223,338,347
714140825,64,216,337,351
714141491,93,253,357,338
714142158,82,247,330,327
714142825,71,223,332,334
714143491,70,219,328,330
714144158,67,215,322,323
714144825,87,251,331,328
714145491,92,252,330,326
714146158,64,221,317,313
714146825,64,223,322,320
714147491,62,219,319,317
714148158,81,246,313,319
714148825,91,256,330,326
714149491,66,216,319,319
714150158,65,221,331,334
714150825,62,217,319,325
714151491,74,234,323,329
714152158,95,263,333,338
714152825,70,221,322,332
714153491,64,216,322,323
714154158,71,219,329,332
714154825,64,228,326,332
714155491,89,256,332,333
714156158,79,232,339,340
714156825,64,216,330,345
714157491,69,217,343,344
714158158,67,220,339,330
