NOISE FLOOR (additive electronics/pickup floor), measured in verified carrier-free bands
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1367.0         1.266e-04       1.3      1.04     yes
    2109.8         1.397e-04       2.4      1.04     yes
    2332.0         1.404e-04       1.0      1.11     yes
    2264.5         1.431e-04       1.1      1.01     yes
    2467.0         1.459e-04       0.8      1.02     yes
    1094.2         1.464e-04       2.3      1.00     yes
    1166.0         1.472e-04       3.7      1.00     yes
    1569.5         1.482e-04       2.3      1.03     yes
    2131.0         1.484e-04       3.5      1.04     yes
    1525.0         1.499e-04       7.6      1.42     NO*
    2383.2         1.503e-04       9.6      1.05     NO*
    1681.5         1.503e-04       1.4      1.16     yes
    1660.8         1.523e-04       2.3      1.01     yes
    2174.0         1.532e-04      11.4      1.08     NO*
    1306.2         1.539e-04       2.7      1.00     yes
     940.2         1.544e-04       9.8      1.07     NO*
     830.0         1.559e-04       2.1      1.00     yes
    2441.2         1.575e-04       1.0      1.05     yes
    1294.8         1.593e-04       1.3      1.00     yes
    2085.0         1.607e-04      10.8      1.00     NO*
    2028.8         1.625e-04      11.6      1.21     NO*
    1258.2         1.634e-04       6.6      1.02     NO*
     892.2         1.642e-04       2.4      1.00     yes
    2358.2         1.651e-04       4.7      1.07     yes
    1543.2         1.668e-04       0.5      1.00     yes
    1838.0         1.682e-04       5.3      1.09     yes
    1413.0         1.689e-04       2.6      1.04     yes
    1772.0         1.693e-04       9.7      1.09     NO*
    2062.0         1.697e-04       6.4      1.25     NO*
    1331.2         1.702e-04      11.0      1.34     NO*
    1637.0         1.703e-04       4.1      1.03     yes
    1436.0         1.718e-04       8.0      1.03     NO*
    1884.0         1.723e-04       4.1      1.12     yes
    1278.0         1.727e-04      14.6      1.00     NO*
    2156.2         1.736e-04       6.6      1.00     NO*
     857.2         1.737e-04       1.0      1.00     yes
    1458.8         1.750e-04       6.8      1.01     NO*
     965.0         1.755e-04       2.2      1.04     yes
    2240.8         1.756e-04       5.2      1.02     yes
    1919.2         1.757e-04      10.4      1.03     NO*
    1222.0         1.768e-04       8.2      1.12     NO*
    1389.2         1.791e-04       1.8      1.16     yes
     874.5         1.806e-04       1.9      1.33     yes
    1743.8         1.816e-04       1.9      1.00     yes
     919.0         1.824e-04       8.5      1.09     NO*
    1140.8         1.836e-04       5.4      1.00     yes
    1115.8         1.838e-04       5.6      1.05     yes
    2220.0         1.841e-04      11.3      1.08     NO*
    2286.0         1.843e-04      10.6      1.11     NO*
    1479.0         1.866e-04      10.5      1.00     NO*
     761.2         1.897e-04       3.7      1.00     yes
     784.0         1.899e-04       6.0      1.15     NO*
    2489.2         1.922e-04       4.0      1.21     yes
     809.2         1.960e-04       2.0      1.10     yes
    2192.8         1.965e-04       2.4      1.00     yes
    1944.2         1.984e-04       6.3      1.00     NO*
