FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2358.2         2.564e-04       1.1      1.00     yes
     874.5         2.585e-04       4.3      1.35     yes
    2489.2         2.598e-04       2.6      1.14     yes
    1057.8         2.637e-04       1.6      1.00     yes
    1115.8         2.676e-04       2.7      1.09     yes
    2421.0         2.705e-04       1.0      1.03     yes
     672.0         2.719e-04      13.8      1.05     NO*
     655.2         2.754e-04       0.5      1.00     yes
     633.8         2.813e-04       3.1      1.04     yes
     965.0         2.818e-04       2.9      1.30     yes
    1258.2         2.821e-04       2.7      1.04     yes
    2264.5         2.855e-04       4.2      1.09     yes
    2441.2         2.868e-04       2.8      1.02     yes
     986.5         2.925e-04       3.3      1.15     yes
    2467.0         2.926e-04      12.4      1.13     NO*
    2383.2         2.926e-04      11.6      1.15     NO*
    2286.0         2.946e-04       6.8      1.03     NO*
     809.2         2.991e-04       3.4      1.05     yes
    1140.8         3.000e-04       1.6      1.02     yes
     527.0         3.022e-04       2.8      1.05     yes
     718.0         3.039e-04       5.4      1.33     yes
    1077.0         3.043e-04       5.2      1.04     yes
    2332.0         3.091e-04       1.4      1.01     yes
    1222.0         3.109e-04       1.9      1.01     yes
     242.8         3.116e-04       4.0      1.00     yes
    2220.0         3.116e-04       3.2      1.10     yes
    2240.8         3.126e-04       1.8      1.18     yes
    1188.8         3.157e-04       3.0      1.01     yes
    1637.0         3.181e-04       1.5      1.04     yes
     784.0         3.199e-04       5.7      1.11     yes
    2310.2         3.227e-04       2.9      1.00     yes
    1543.2         3.259e-04       2.9      1.00     yes
    1031.0         3.349e-04      11.0      1.40     NO*
     560.8         3.358e-04       0.9      1.03     yes
     471.0         3.371e-04       2.1      1.09     yes
    1660.8         3.408e-04       1.7      1.09     yes
