FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
A2V-16_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2489.2         9.767e-05       1.7      1.02     yes
    2383.2         1.064e-04       2.1      1.05     yes
    2264.5         1.103e-04       1.8      1.19     yes
    2286.0         1.129e-04       1.5      1.01     yes
    2220.0         1.142e-04       7.5      1.06     NO*
    2192.8         1.150e-04      11.3      1.00     NO*
    2156.2         1.153e-04       0.9      1.00     yes
    2240.8         1.161e-04       1.8      1.26     yes
    2174.0         1.199e-04       2.4      1.04     yes
    2310.2         1.205e-04       7.2      1.04     NO*
    2131.0         1.209e-04       2.1      1.12     yes
    2421.0         1.247e-04       5.4      1.06     yes
    2358.2         1.261e-04       2.7      1.22     yes
    2441.2         1.290e-04      22.8      1.01     NO*
    2062.0         1.299e-04       4.3      1.17     yes
    2467.0         1.331e-04       3.4      1.08     yes
    2028.8         1.372e-04       1.6      1.13     yes
    1944.2         1.460e-04       1.6      1.00     yes
    1955.8         1.461e-04       1.4      1.00     yes
    1258.2         1.556e-04       6.6      1.14     NO*
    1294.8         1.569e-04       2.1      1.00     yes
    1222.0         1.605e-04       1.8      1.09     yes
    1188.8         1.673e-04       2.1      1.02     yes
    1331.2         1.694e-04       2.1      1.05     yes
    1992.2         1.697e-04       6.6      1.00     NO*
    2085.0         1.772e-04      10.6      1.44     NO*
    1884.0         1.845e-04       3.2      1.05     yes
    1077.0         1.896e-04       3.1      1.01     yes
    1306.2         1.904e-04       0.6      1.00     yes
    1057.8         1.918e-04      16.8      1.00     NO*
     986.5         1.925e-04       1.1      1.06     yes
    1115.8         1.966e-04       1.9      1.00     yes
    1367.0         2.001e-04       1.7      1.03     yes
    1140.8         2.024e-04       4.5      1.17     yes
    1009.8         2.051e-04       3.8      1.02     yes
    1389.2         2.057e-04       2.1      1.23     yes
