FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.000 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 126  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
A2V-16_A2
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1020.0         3.925e-03       5.8      1.06     yes
    1605.0         3.955e-03       1.0      1.00     yes
     495.0         3.964e-03       0.9      1.00     yes
     560.0         4.007e-03       5.4      1.01     yes
    2060.0         4.054e-03       8.7      1.16     NO*
    2120.0         4.103e-03       4.6      1.03     yes
    1720.0         4.160e-03       4.6      1.13     yes
     595.0         4.163e-03       1.5      1.00     yes
     920.0         4.237e-03      14.9      1.07     NO*
    2305.0         4.252e-03       2.9      1.00     yes
    1395.0         4.293e-03       1.0      1.00     yes
     205.0         4.302e-03       0.8      1.00     yes
    1840.0         4.307e-03       5.6      1.09     yes
    2340.0         4.362e-03       5.4      1.15     yes
    1540.0         4.392e-03       4.3      1.00     yes
     240.0         4.395e-03       4.6      1.01     yes
    1995.0         4.397e-03       1.3      1.00     yes
    1740.0         4.404e-03       7.5      1.21     NO*
    1180.0         4.405e-03       5.1      1.03     yes
     120.0         4.413e-03       9.4      1.35     NO*
    1620.0         4.419e-03       6.4      1.00     NO*
    2180.0         4.444e-03       5.0      1.02     yes
    2160.0         4.467e-03       3.4      1.49     yes
    1040.0         4.476e-03       6.7      1.05     NO*
     480.0         4.494e-03       5.7      1.13     yes
     260.0         4.500e-03       4.8      1.12     yes
     705.0         4.505e-03       1.6      1.00     yes
     840.0         4.507e-03       5.2      1.17     yes
    1640.0         4.513e-03       4.7      1.15     yes
    1960.0         4.513e-03       6.1      1.10     NO*
     360.0         4.515e-03       5.1      1.00     yes
    1895.0         4.518e-03       4.5      1.00     yes
    1060.0         4.549e-03       5.0      1.03     yes
     105.0         4.557e-03       0.5      1.00     yes
    2095.0         4.572e-03       0.4      1.00     yes
    1095.0         4.586e-03       2.7      1.00     yes
    1140.0         4.596e-03       5.1      1.00     yes
    1460.0         4.599e-03       3.4      1.38     yes
     140.0         4.602e-03       5.3      1.03     yes
    1480.0         4.611e-03       5.7      1.10     yes
    1520.0         4.619e-03       5.7      1.12     yes
    1495.0         4.625e-03       1.6      1.00     yes
    1260.0         4.646e-03       4.1      1.18     yes
    1420.0         4.653e-03       4.0      1.03     yes
    1880.0         4.655e-03       5.8      1.22     yes
    2320.0         4.660e-03       6.9      1.06     NO*
    1295.0         4.661e-03       0.8      1.00     yes
    2140.0         4.718e-03       5.6      1.00     yes
    1980.0         4.738e-03       8.9      1.20     NO*
    2195.0         4.764e-03       0.8      1.00     yes
    1505.0         4.770e-03       0.5      1.00     yes
     320.0         4.776e-03       7.9      1.03     NO*
    1360.0         4.788e-03       7.8      1.02     NO*
     820.0         4.794e-03       6.8      1.25     NO*
     895.0         4.796e-03       3.3      1.00     yes
     960.0         4.806e-03       7.2      1.05     NO*
    2420.0         4.809e-03       6.4      1.24     NO*
    1280.0         4.809e-03      20.0      1.22     NO*
    1195.0         4.811e-03       2.3      1.00     yes
      40.0         4.831e-03       5.9      1.17     yes
     905.0         4.833e-03       1.6      1.00     yes
    1660.0         4.841e-03       8.0      1.01     NO*
    1760.0         4.849e-03       5.7      1.18     yes
    2360.0         4.859e-03       8.7      1.00     NO*
    1780.0         4.903e-03       7.2      1.06     NO*
    2460.0         4.922e-03       5.2      1.20     yes
    2270.0         4.937e-03       4.4      1.07     yes
    1380.0         4.947e-03       4.2      1.00     yes
    2105.0         4.952e-03       2.6      1.00     yes
    2080.0         4.952e-03       5.4      1.00     yes
     760.0         4.988e-03       2.9      1.35     yes
     720.0         5.039e-03       7.4      1.30     NO*
    2220.0         5.071e-03       5.1      1.47     yes
    1440.0         5.072e-03       3.8      1.33     yes
      80.0         5.082e-03       7.4      1.01     NO*
     740.0         5.102e-03       5.7      1.14     yes
    2405.0         5.106e-03       1.5      1.00     yes
    1595.0         5.121e-03       8.1      1.00     NO*
     220.0         5.123e-03       5.6      1.32     yes
    2205.0         5.128e-03       0.6      1.00     yes
    2240.0         5.173e-03       6.0      1.01     yes
     340.0         5.202e-03       5.5      1.11     yes
    1705.0         5.203e-03       1.5      1.00     yes
    1225.0         5.204e-03       7.2      1.32     NO*
     660.0         5.215e-03       6.3      1.03     NO*
     940.0         5.217e-03      16.3      1.06     NO*
     680.0         5.254e-03       4.2      1.08     yes
    2030.0         5.273e-03       5.9      1.06     yes
    1815.0         5.300e-03       5.5      1.06     yes
    2485.0         5.308e-03       8.0      1.47     NO*
     780.0         5.310e-03       7.6      1.03     NO*
     605.0         5.312e-03       1.3      1.00     yes
     380.0         5.377e-03       7.7      1.18     NO*
    1405.0         5.380e-03       1.6      1.00     yes
     285.0         5.423e-03       4.5      1.18     yes
     695.0         5.444e-03       1.3      1.00     yes
    1115.0         5.471e-03       4.8      1.55     yes
     630.0         5.497e-03       5.9      1.10     yes
    2005.0         5.505e-03       2.6      1.00     yes
    1685.0         5.505e-03       4.9      1.19     yes
    1080.0         5.533e-03       4.9      1.00     yes
      95.0         5.558e-03       0.6      1.00     yes
     870.0         5.584e-03       5.1      1.27     yes
    1305.0         5.603e-03       2.0      1.00     yes
    1330.0         5.641e-03       5.1      1.17     yes
    1570.0         5.643e-03       5.2      1.10     yes
     580.0         5.735e-03      14.6      1.29     NO*
      60.0         5.860e-03       7.8      1.13     NO*
     795.0         5.903e-03       0.8      1.00     yes
     985.0         5.913e-03       4.6      1.32     yes
      25.0         5.980e-03       1.2      1.00     yes
    2385.0         6.076e-03       6.4      1.60     NO*
     805.0         6.176e-03       1.6      1.00     yes
     170.0         6.288e-03       5.2      1.13     yes
     505.0         6.498e-03       5.9      1.00     yes
     530.0         6.501e-03       4.7      1.09     yes
    1795.0         6.548e-03       1.4      1.00     yes
    1925.0         6.589e-03       6.4      1.23     NO*
    1160.0         6.644e-03       9.7      1.71     NO*
     195.0         6.730e-03       4.9      1.00     yes
    2295.0         6.987e-03       4.5      1.00     yes
    1005.0         7.183e-03       1.8      1.00     yes
     305.0         7.185e-03       1.3      1.00     yes
     395.0         8.301e-03       1.7      1.00     yes
    2440.0         8.477e-03      12.3      2.35     NO*
    1860.0         4.047e-02      26.0     14.08     NO*
  consensus floor = 4.841e-03 mV^2/Hz over 92 clean bands  ->  Var(n) = 0.0194 mV^2  (RMS 139.2 uV)
  carrier a = 397.788 mV  ->  SNR = 66.1 dB in the 4 Hz demod band

========================================================================
A2V-16_A3
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
     495.0         7.365e-03       1.7      1.00     yes
    2095.0         7.558e-03       0.7      1.00     yes
      80.0         7.817e-03       6.7      1.05     NO*
      95.0         7.937e-03       1.1      1.00     yes
    2160.0         8.135e-03       2.2      1.31     yes
    2080.0         8.289e-03       2.1      1.04     yes
     660.0         8.373e-03       5.0      1.09     yes
    1540.0         8.383e-03       3.7      1.14     yes
    2195.0         8.505e-03       0.8      1.00     yes
    2120.0         8.558e-03       2.8      1.21     yes
     140.0         8.626e-03       2.2      1.17     yes
     105.0         8.687e-03       0.4      1.00     yes
    1605.0         8.720e-03       0.5      1.00     yes
    1720.0         8.743e-03       2.1      1.00     yes
     695.0         8.785e-03       1.0      1.00     yes
    2140.0         8.788e-03       3.3      1.01     yes
    1360.0         8.791e-03       5.8      1.10     yes
    1995.0         8.793e-03       1.4      1.00     yes
     705.0         8.800e-03       1.1      1.00     yes
     480.0         8.814e-03       2.9      1.12     yes
     805.0         8.859e-03       1.0      1.00     yes
    1080.0         8.952e-03       3.8      1.04     yes
    1295.0         9.020e-03       0.4      1.00     yes
     795.0         9.081e-03       0.3      1.00     yes
    1740.0         9.154e-03       5.1      1.21     yes
    1440.0         9.224e-03       2.8      1.19     yes
    1060.0         9.240e-03       3.5      1.08     yes
     605.0         9.289e-03       1.2      1.00     yes
     960.0         9.308e-03       5.7      1.06     yes
    2360.0         9.314e-03       6.3      1.06     NO*
      40.0         9.350e-03       3.8      1.37     yes
     340.0         9.450e-03       3.4      1.19     yes
    2060.0         9.507e-03       5.9      1.09     yes
     360.0         9.511e-03       3.1      1.10     yes
     240.0         9.537e-03       2.8      1.03     yes
    2460.0         9.545e-03       2.3      1.05     yes
     260.0         9.558e-03       3.4      1.06     yes
    1480.0         9.576e-03       4.0      1.15     yes
     740.0         9.625e-03       4.0      1.10     yes
    1520.0         9.627e-03       3.7      1.14     yes
    1495.0         9.639e-03       0.2      1.00     yes
    1420.0         9.782e-03       3.1      1.16     yes
     920.0         9.802e-03       9.3      1.06     NO*
    2180.0         9.804e-03       2.1      1.00     yes
     720.0         9.805e-03       2.9      1.05     yes
     680.0         9.815e-03       2.8      1.07     yes
    1280.0         9.823e-03      14.6      1.03     NO*
    1405.0         9.833e-03       0.6      1.00     yes
    1780.0         9.860e-03       5.8      1.02     yes
    2340.0         9.962e-03       2.0      1.05     yes
    1620.0         9.975e-03       3.7      1.17     yes
    1660.0         1.000e-02       6.6      1.00     NO*
    1380.0         1.003e-02       2.7      1.09     yes
     840.0         1.004e-02       2.5      1.15     yes
     170.0         1.004e-02       3.4      1.05     yes
     505.0         1.007e-02       4.9      1.00     yes
    1180.0         1.009e-02       2.9      1.04     yes
    2305.0         1.009e-02       1.3      1.00     yes
    1020.0         1.014e-02       4.1      1.00     yes
    2030.0         1.014e-02       3.4      1.09     yes
    1840.0         1.014e-02       3.0      1.00     yes
    1095.0         1.017e-02       1.5      1.00     yes
     320.0         1.018e-02       5.3      1.02     yes
    1705.0         1.019e-02       0.6      1.00     yes
    1980.0         1.020e-02       4.7      1.02     yes
    2220.0         1.020e-02       3.5      1.01     yes
    1395.0         1.020e-02       1.0      1.00     yes
    1640.0         1.023e-02       4.1      1.06     yes
    1460.0         1.028e-02       3.0      1.11     yes
     985.0         1.031e-02       5.9      1.66     yes
    2295.0         1.035e-02       3.5      1.00     yes
    1040.0         1.036e-02       4.0      1.31     yes
    2240.0         1.037e-02       4.6      1.00     yes
    1225.0         1.041e-02       5.7      1.23     yes
      25.0         1.041e-02       1.4      1.00     yes
     595.0         1.045e-02       0.8      1.00     yes
    2320.0         1.050e-02       3.1      1.25     yes
     380.0         1.055e-02       6.1      1.21     NO*
     120.0         1.058e-02       5.5      1.22     yes
    1895.0         1.059e-02       1.7      1.00     yes
    2105.0         1.061e-02       1.1      1.00     yes
    1115.0         1.063e-02       3.7      1.48     yes
     220.0         1.064e-02       2.6      1.03     yes
    2270.0         1.068e-02       3.0      1.13     yes
    1505.0         1.069e-02       0.9      1.00     yes
     580.0         1.071e-02       9.8      1.24     NO*
    1880.0         1.073e-02       1.9      1.21     yes
    2420.0         1.079e-02       2.8      1.05     yes
    1685.0         1.081e-02       4.3      1.36     yes
     820.0         1.087e-02       5.0      1.28     yes
     285.0         1.088e-02       3.7      1.04     yes
    1140.0         1.094e-02       1.6      1.05     yes
    1260.0         1.097e-02       2.5      1.06     yes
    2205.0         1.101e-02       0.8      1.00     yes
     760.0         1.102e-02       2.4      1.26     yes
    1815.0         1.105e-02       4.5      1.27     yes
    1195.0         1.106e-02       1.5      1.00     yes
    1305.0         1.107e-02       1.0      1.00     yes
     560.0         1.114e-02       2.6      1.20     yes
     530.0         1.116e-02       4.3      1.06     yes
    1330.0         1.118e-02       2.7      1.12     yes
    1595.0         1.120e-02       5.5      1.00     yes
     870.0         1.125e-02       3.3      1.06     yes
     305.0         1.128e-02       2.0      1.00     yes
    1925.0         1.129e-02       4.3      1.23     yes
     395.0         1.131e-02       2.3      1.00     yes
    1960.0         1.132e-02       2.5      1.20     yes
     940.0         1.134e-02      10.7      1.09     NO*
    1570.0         1.137e-02       3.0      1.15     yes
     195.0         1.142e-02       3.5      1.00     yes
     905.0         1.148e-02       1.0      1.00     yes
    2005.0         1.160e-02       3.6      1.00     yes
    1760.0         1.161e-02       2.3      1.10     yes
      60.0         1.165e-02       3.2      1.13     yes
     630.0         1.185e-02       4.8      1.25     yes
    1795.0         1.189e-02       2.0      1.00     yes
    2405.0         1.192e-02       0.8      1.00     yes
    2385.0         1.204e-02       3.8      1.25     yes
    1160.0         1.237e-02       7.7      1.48     NO*
     205.0         1.254e-02       0.8      1.00     yes
     780.0         1.256e-02       5.2      1.03     yes
    2440.0         1.270e-02       8.3      1.66     NO*
    2485.0         1.282e-02       5.0      1.13     yes
     895.0         1.313e-02       1.2      1.00     yes
    1005.0         1.435e-02       1.5      1.00     yes
    1860.0         3.077e-02      20.5      5.38     NO*
  consensus floor = 1.018e-02 mV^2/Hz over 115 clean bands  ->  Var(n) = 0.0407 mV^2  (RMS 201.8 uV)
  carrier a = 304.104 mV  ->  SNR = 60.6 dB in the 4 Hz demod band

========================================================================
A2V-16_A4
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2360.0         7.704e-03       7.4      1.05     NO*
      40.0         7.795e-03       3.8      1.08     yes
    1705.0         7.940e-03       1.4      1.00     yes
    1540.0         8.023e-03       2.4      1.35     yes
    1495.0         8.063e-03       1.8      1.00     yes
    2340.0         8.273e-03       2.6      1.04     yes
     905.0         8.320e-03       1.2      1.00     yes
     260.0         8.362e-03       3.3      1.20     yes
    2120.0         8.397e-03       1.2      1.06     yes
    2160.0         8.465e-03       2.8      1.16     yes
    1140.0         8.482e-03       1.5      1.00     yes
    2095.0         8.559e-03       1.3      1.00     yes
    1195.0         8.562e-03       1.9      1.00     yes
    2240.0         8.568e-03       4.8      1.13     yes
    1760.0         8.568e-03       1.1      1.00     yes
    1380.0         8.601e-03       1.7      1.04     yes
    2305.0         8.685e-03       0.7      1.00     yes
    2420.0         8.691e-03       3.7      1.00     yes
     740.0         8.694e-03       3.2      1.06     yes
    1595.0         8.782e-03       5.9      1.00     yes
    1640.0         8.830e-03       2.2      1.13     yes
    1995.0         8.867e-03       1.8      1.00     yes
    1840.0         8.899e-03       1.8      1.01     yes
     795.0         8.949e-03       0.4      1.00     yes
     580.0         8.963e-03       9.3      1.00     NO*
    1880.0         8.975e-03       2.2      1.07     yes
    1520.0         8.978e-03       1.8      1.20     yes
     895.0         8.989e-03       2.0      1.00     yes
      25.0         8.994e-03       0.8      1.00     yes
    1960.0         9.036e-03       1.1      1.05     yes
     780.0         9.067e-03       5.5      1.14     yes
     320.0         9.087e-03       5.0      1.07     yes
    1480.0         9.149e-03       4.5      1.04     yes
     595.0         9.187e-03       1.0      1.00     yes
    1405.0         9.244e-03       2.0      1.00     yes
     695.0         9.269e-03       1.2      1.00     yes
    2460.0         9.283e-03       0.8      1.01     yes
     660.0         9.294e-03       3.3      1.14     yes
    1720.0         9.355e-03       2.9      1.04     yes
