timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
8134158,109,250,321,322
8134825,61,213,327,337
8135492,63,210,324,335
8136158,114,246,331,343
8136825,60,209,325,335
8137492,58,213,320,334
8138158,115,251,331,336
8138825,63,208,327,336
8139492,59,209,320,341
8140158,110,250,340,347
8140825,60,212,345,356
8141492,63,200,341,345
8142158,117,249,346,351
8142825,58,217,340,344
8143492,62,211,330,340
8144158,116,247,343,339
8144825,61,208,327,331
8145492,59,213,322,330
8146158,113,251,330,322
8146825,61,208,328,330
8147492,61,206,319,323
8148158,114,252,322,321
8148825,58,213,319,320
8149492,64,201,319,325
8150158,118,257,314,319
8150825,59,211,315,315
8151492,60,210,319,327
8152158,123,237,326,335
8152825,63,206,323,337
8153492,58,209,323,337
8154158,112,252,330,344
8154825,63,209,331,338
8155492,62,206,326,339
8156158,112,251,335,339
8156825,58,213,338,345
8157492,63,207,339,355
8158158,115,244,347,351
8158825,59,213,352,346
8159492,58,212,340,343
8160158,115,247,343,336
8160825,65,208,338,331
8161492,58,210,326,330
8162158,112,251,331,324
8162825,63,209,329,329
8163492,61,209,323,333
8164158,112,249,325,322
8164825,59,211,323,318
8165492,62,209,319,320
8166158,117,247,319,321
8166825,62,211,313,321
8167492,58,210,325,329
8168158,114,252,335,337
8168825,63,208,327,339
8169492,59,208,331,341
8170158,112,252,331,335
8170825,62,211,333,339
8171492,65,208,333,337
8172158,111,250,329,334
8172825,58,211,333,343
8173492,60,211,343,353
8174158,119,247,350,359
8174825,61,210,343,353
8175492,56,213,342,348
8176158,114,252,349,346
8176825,63,208,337,337
8177492,59,208,334,349
8178158,111,252,331,326
8178825,62,212,327,322
8179492,60,207,330,335
8180158,116,248,327,331
8180825,58,211,318,318
8181492,57,212,322,324
8182158,114,249,332,324
8182825,62,206,317,323
8183492,58,209,319,324
8184158,107,254,320,322
8184825,62,212,329,335
8185492,63,208,323,339
8186158,119,251,328,336
8186825,59,210,325,336
8187492,61,211,333,339
8188158,117,249,330,336
8188825,59,209,325,338
8189492,57,213,336,345
8190158,114,251,343,353
8190825,63,208,345,351
8191492,60,208,347,355
8192158,112,253,349,349
8192825,60,211,345,345
8193492,59,206,350,343
8194158,114,251,335,333
8194825,57,213,329,327
8195492,62,213,332,329
8196158,116,249,329,328
8196825,60,210,321,327
8197492,58,211,326,326
8198158,114,251,323,307
8198825,63,208,316,319
8199492,62,209,317,327
8200158,113,244,317,319
8200825,60,213,322,337
8201492,65,201,325,342
8202158,112,248,327,338
8202825,59,212,330,338
8203492,60,212,333,337
8204158,115,252,335,341
8204825,63,216,329,337
8205492,58,211,326,340
8206158,113,253,334,338
8206825,63,205,341,354
8207492,63,211,345,361
8208158,112,252,334,349
8208825,60,213,351,348
8209492,65,213,347,351
8210158,117,250,342,337
8210825,59,211,334,335
8211492,60,205,333,333
8212158,116,250,333,325
8212825,63,208,325,331
8213492,60,212,328,335
8214158,112,254,323,323
8214825,62,211,319,316
