timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
401567582,237,145,311,323
401568250,199,69,274,303
401568915,192,91,278,297
401569582,198,86,283,319
401570250,273,193,339,359
401570915,257,173,309,327
401571582,195,95,272,308
401572249,192,86,278,307
401572916,192,86,283,300
401573582,260,172,314,348
401574249,277,194,349,364
401574915,192,95,276,299
401575582,193,90,280,311
401576249,192,86,284,316
401576915,239,141,313,315
401577582,289,207,355,362
401578249,214,116,293,308
401578915,194,86,278,298
401579582,193,89,276,305
401580249,217,112,283,301
401580915,286,206,347,352
401581582,237,148,310,317
401582249,192,87,272,294
401582915,195,92,278,298
401583582,194,88,279,301
401584249,284,206,348,350
401584915,258,174,312,314
401585582,199,85,277,303
401586249,199,85,274,303
401586915,192,93,283,302
401587582,278,194,345,350
401588249,281,193,330,361
401588915,192,87,279,293
401589582,201,84,274,306
401590249,188,81,274,300
401590915,245,171,314,325
401591582,286,206,350,367
401592249,201,95,285,326
401592915,193,87,280,297
401593582,194,86,282,313
401594249,217,143,309,333
401594915,290,205,346,362
401595582,223,112,295,321
401596249,192,87,279,305
401596915,192,87,277,291
401597582,195,117,274,311
401598249,285,202,345,358
401598915,245,141,306,314
401599582,192,89,270,295
401600249,190,81,277,305
401600915,190,87,276,295
401601582,277,193,316,349
401602249,269,173,313,345
401602917,192,90,277,281
401603582,192,91,279,305
401604250,192,89,283,316
401604915,265,172,314,327
401605582,277,190,318,351
401606250,192,90,280,289
401606915,192,89,278,291
401607582,192,91,284,315
401608249,238,146,311,327
401608915,292,202,359,360
401609582,223,112,303,323
401610249,193,93,287,311
401610915,192,91,292,312
401611582,220,118,291,325
401612249,288,204,349,359
401612915,244,142,309,316
401613582,192,89,276,305
401614249,192,92,285,306
401614915,194,89,279,297
401615582,278,202,343,351
401616249,267,179,319,331
401616915,198,87,271,291
401617582,192,89,282,306
401618249,196,93,278,306
401618915,267,191,333,325
401619582,278,197,349,356
401620249,194,91,277,307
401620915,193,88,273,290
401621582,193,90,282,311
401622249,237,144,306,347
401622915,284,203,345,359
401623582,197,90,284,312
401624249,192,87,282,301
401624915,192,87,278,299
401625582,216,118,305,329
401626249,293,212,356,366
401626915,238,118,292,316
401627582,192,86,287,306
401628249,195,90,284,315
401628915,193,90,277,299
401629582,283,204,347,361
401630249,261,148,307,318
401630915,202,84,272,276
401631582,192,85,282,304
401632249,192,90,286,315
401632915,275,193,319,327
401633582,276,170,319,345
401634249,195,84,271,272
401634916,188,85,273,286
401635582,192,88,291,315
401636249,262,173,318,342
401636916,295,197,333,334
401637582,194,90,274,307
401638249,192,87,283,308
401638917,188,85,277,311
401639582,237,144,306,327
401640249,291,207,346,361
401640917,217,115,288,305
401641582,194,90,282,312
401642249,192,87,290,329
401642915,212,117,289,318
401643582,287,204,352,373
401644249,240,143,317,335
401644915,197,88,281,297
401645582,192,92,280,315
401646249,193,90,281,310
401646915,278,192,338,341
401647582,260,172,318,328
401648249,190,78,273,296
401648915,195,95,276,302
401649582,192,86,275,302
401650249,267,171,324,347
401650915,278,194,343,326
401651582,199,85,275,302
401652249,198,86,275,303
401652915,194,93,278,304
401653582,243,145,293,324
401654249,286,200,344,367
401654915,215,93,287,301
401655582,196,87,279,305
401656249,192,89,276,302
401656915,215,112,290,305
401657582,289,204,351,359
401658249,238,144,299,318
401658915,192,89,285,305
401659582,197,86,283,319
401660249,203,88,281,319
401660915,292,207,357,357
401661582,262,179,326,354
401662249,196,89,281,313
401662915,194,90,274,294
401663582,192,87,268,314
401664249,276,190,317,339
401664915,272,190,330,330
401665582,192,89,279,306
401666249,195,89,277,303
401666915,195,88,272,308
401667582,261,169,317,331
401668250,291,207,353,355
401668915,192,95,283,302
401669582,192,91,285,306
401670250,193,91,274,310
401670915,240,142,303,319
401671582,288,204,351,371
401672250,214,122,288,317
401672915,192,85,275,292
401673582,192,88,282,310
401674249,223,114,290,317
401674915,293,207,355,354
401675582,239,142,315,350
401676249,188,82,276,304
401676915,196,87,282,309
401677582,197,94,283,323
401678249,276,190,322,352
401678915,260,170,308,326
401679582,192,90,268,298
401680249,192,88,275,301
401680915,192,84,275,292
401681582,262,169,312,322
401682249,276,192,344,349
401682915,198,98,269,289
401683582,192,87,272,299
401684249,192,86,281,302
401684915,242,141,307,303
401685582,286,207,347,355
401686249,216,114,294,304
401686915,198,91,276,296
401687582,192,84,285,315
401688249,214,111,289,308
401688915,284,207,344,359
401689582,241,145,304,323
401690249,193,86,275,292
401690915,193,86,286,301
401691582,194,94,282,311
401692249,286,206,357,364
401692915,265,179,323,334
401693582,195,85,276,309
401694249,192,85,285,304
401694915,198,87,275,302
401695582,257,192,345,358
401696249,279,191,319,346
401696915,193,85,281,297
401697582,189,80,276,300
401698249,192,90,274,295
401698915,240,168,311,320
401699582,287,200,342,361
401700249,195,88,276,292
401700915,194,90,274,292
401701582,190,86,280,305
401702249,219,150,303,315
401702917,289,204,349,352
401703582,220,114,297,320
401704249,189,91,275,299
401704917,195,95,277,305
401705582,195,116,284,319
