timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
576800825,72,215,335,336
576801492,66,210,329,337
576802158,56,213,331,337
576802825,68,215,327,336
576803492,69,218,328,340
576804158,56,213,331,324
576804825,67,216,333,336
576805492,68,209,327,347
576806158,58,211,331,339
576806825,70,215,331,341
576807492,70,208,327,335
576808158,58,205,330,336
576808825,72,215,334,337
576809492,69,207,326,336
576810158,58,211,330,335
576810825,67,219,330,333
576811492,70,206,329,335
576812158,56,215,331,341
576812825,68,217,331,335
576813492,72,210,328,331
576814158,58,215,329,339
576814825,67,215,333,335
576815492,71,208,329,335
576816158,61,211,331,327
576816825,66,210,330,333
576817492,69,208,329,337
576818158,53,213,330,337
576818825,66,221,331,333
576819492,69,211,331,337
576820158,63,210,333,340
576820825,65,217,331,336
576821492,62,211,319,330
576822158,62,209,331,337
576822825,67,219,327,336
576823492,70,209,331,338
576824158,61,208,328,335
576824825,66,214,334,336
576825492,69,210,331,335
576826158,61,211,325,343
576826825,66,216,328,334
576827492,70,211,330,332
576828158,61,209,330,337
576828825,59,217,328,332
576829492,68,211,330,333
576830158,61,208,328,335
576830825,66,219,328,332
576831492,68,212,327,330
576832158,63,206,330,337
576832825,68,213,326,331
576833492,66,214,329,333
576834158,62,205,331,340
576834825,64,215,328,335
576835492,68,215,328,345
576836158,63,209,329,340
576836825,71,215,326,335
576837492,66,215,330,332
576838158,63,208,332,340
576838825,66,215,328,335
576839492,68,214,328,336
576840158,63,208,331,338
576840825,67,214,328,335
576841492,66,215,330,327
576842158,62,215,331,340
576842825,67,213,326,319
576843492,61,215,330,331
576844158,63,208,331,341
576844825,68,216,322,335
576845492,65,218,326,332
576846158,60,209,333,338
576846825,66,215,330,335
576847492,64,215,327,330
576848158,62,217,331,336
576848825,68,212,330,330
576849492,64,216,328,338
576850158,62,210,332,341
576850825,68,213,331,337
576851492,66,215,328,332
576852158,62,207,334,337
576852825,70,209,330,336
576853492,66,220,328,330
576854158,66,209,331,335
576854825,70,212,328,338
576855492,65,215,327,333
576856158,63,217,334,339
576856825,63,209,326,339
576857492,58,215,334,334
576858158,62,210,334,336
576858825,70,216,329,335
576859492,65,215,328,333
576860158,67,209,331,338
576860825,67,212,331,337
576861492,64,215,327,332
576862158,62,209,333,339
576862825,68,210,329,335
576863492,68,215,325,330
576864158,62,208,331,341
576864825,70,211,331,335
576865492,65,214,326,329
576866158,65,211,330,336
576866825,70,210,331,329
576867492,68,213,326,333
576868158,62,211,327,336
576868825,69,209,333,337
576869492,68,216,324,338
576870158,61,205,331,337
576870825,67,214,327,337
